"слово","замена","использовать"
"инвалид","калека",""
"инвестиции","вложения",""
"инвестор","вкладчик",""
"инвойс","счёт, счёт-фактура",""
"ингредиент","составляющая",""
"индивидуальный","единоличный",""
"индифферентный","нейтральный, безразличный",""
"индульгенция","попустительство, право грешить",""
"индустрия","промышленность",""
"инертный","бездеятельный",""
"инертный","равнодушный",""
"инженер","созидатель",""
"инициативный","деятельный, энергичный, предприимчевый",""
"инклюзивный","всесторонний, всеобъемлющий",""
"инкриминировать","вменять, обвинять",""
"инновационный","новаторский",""
"инновация","новшество, новодел",""
"инсинуация","порочащий намёк",""
"инспирировать","подстраивать, подстрекать, настраивать",""
"инсталлер","установщик",""
"инсталляция","установка",""
"инсталятор","установщик",""
"институт","учреждение",""
"институциональный","основной, изначальный, официальный",""
"институция","учреждение",""
"инсценировка","разыгрывание (по ролям)",""
"интегратор","внедритель",""
"интеграция","внедрение",""
"интенсификация","усиление",""
"интервенция","вторжение, вмешательство",""
"интервью","беседа",""
"интерес","любопытство, расчет",""
"интернациональный","международный",""
"интернет","интерсеть, сеть",""
"интерфейс","стык, взаимодействие",""
"интолерантность","нетерпимость",""
"интрузия","проникновение, вторжение",""
"инфантильность","незрелость, ребячество",""
"инфекционный","заразный",""
"инфекция","зараза",""
"инфицированный","зараженный",""
"информация","сведения, извещение",""
"ипохондрия","мнительность, угнетённость",""
"ипподром","ристалище",""
"истеблишмент","сливки общества, элита",""
"итерация","повторение, проход, стадия",""
"кабель","провод",""
"кадастр","перечень, опись, свод, реестр",""
"кампус","студенческий городок",""
"камуфляж","прикрытие",""
"карвинг","резьба",""
"карт-бланш","свобода действий",""
"кассация","отмена",""
"кастинг","подбор участников, актёров, пробы",""
"кастомные","пользовательские, дополнительные",""
"катафалк","дроги",""
"квест","приключние, задача",""
"квинтэссенция","суть",""
"кейс","пример, случай",""
"кемпинг","автолагерь",""
"киднэппинг","детохищение, кража детей",""
"киллер","убийца",""
"клевый","умный, ловкий",""
"клиентом","покупатель,пользователь,заказчик",""
"кликать","щёлкать",""
"клининг","чистка, уборка",""
"клип","видеоролик",""
"клиренс","зазор, просвет",""
"клоун","шут",""
"колл-центр","контактный центр, узел связи, телефонная приёмная",""
"коллегия","собрание",""
"коллектор","собиратель, сборщик, сборник, приёмник",""
"колорит","окрашенность",""
"колоритный","красочный",""
"комбинировать","совмещать.",""
"комильфо","как подобает, подобающе",""
"коммерсант","торговец",""
"коммерция","торговля",""
"коммуникация","взаимодействие, связь, общение",""
"комон","давай",""
"компенсация","возмещение",""
"компетенция","полномочия, познания, навык",""
"комплимент","похвала",""
"комфорт","удобство, благоустроенность",""
"комфортабельный","удобный, благоустроенный",""
"комьюнити","сообщество",""
"конвертация","пересчёт",""
"кондоминиум","совладение",""
"конкретный","определенный",""
"конкурент","соперник",""
"конкуренция","соперничество",""
"конкурс","состязание",""
"консалтинг","консультирование",""
"консенсус","согласованность, согласие",""
"консервация","сохранение",""
"консолидация","объединение",""
"констатировать","устанавливать",""
"конституция","устройство",""
"конструировать","устраивать, строить",""
"конструктивный","созидательный",""
"конструкция","построение",""
"консультирование","советование",""
"контакт","общение, согласие",""
"контактный","общительный, для общения",""
"контент","материал, содержимое, содержание",""
"континент","материк",""
"контракт","договор",""
"контрафактный","поддельный, фальшивый",""
"контроль","осмотр",""
"конфаундер","сооснователь",""
"конфессия","вероисповедание, религиозное объединение",""
"конфиденциальный","личный, тайный, доверительный",""
"конфликт","распря",""
"конфронтация","противостояние",""
"концепция","замысел, построение",""
"конъюнктура","состояние, ситуация, обстоятельства",""
"копирайтер","автор, специалист по созданию рекламных текстов",""
"корнер","угловой",""
"корпоративный","общий, совместный",""
"коррективы","поправки",""
"коррекция","поправка, правка",""
"корреспонденция","переписка; сообщение",""
"коррупция","продажность",""
"коучинг","наставничество, обучение",""
"краш","авария, аварийный, аварийное",""
"креатив","творчество",""
"креативный","творческий, необычный, современный, созидательный, изобретательный",""
"кредит","заём, рассрочка",""
"кредитор","заимодатель",""
"криминальный","преступный",""
"крэш","авария, аварийный, аварийное",""
"ксенофобия","страх или ненависть к чужому, незнакомому",""
"кузен","двоюродный брат",""
"кузина","двоюродная сестра",""
"кулуары","закулисье, коридоры",""
"кэш","наличные",""
"кювет","канава",""
"лакшери","роскошный",""
"ламер","слабак, убогий",""
"лаунчер","загрузчик",""
"легаси","унаследованый, устаревшее, наследованое",""
"легитимность","законность",""
"легитимный","законный",""
"лейбл","этикетка, ярлык",""
"лепта","вклад",""
"либеральный","свободный",""
"лидер","вождь, вожак, ведущий",""
"лидировать","возглавлять, вести, первенствовать",""
"лиды","возможный покупатель",""
"лизинг","аренда",""
"ликвидация","уничтожение",""
"лимит","предел, граница",""
"лингвист","языковед",""
"листинг","распечатка, исходный текст",""
"лифтинг","подтяжка кожи",""
"лоадер","загрузчик",""
"лобби","влияние, группа влияния",""
"лоббист","продвиженец, толкач",""
"ловелас","соблазнитель",""
"логин","подключение, вход, регистрация, регистрационное имя",""
"локация","расположение",""
"лояльный","верный, верноподданный",""
"лузер","неудачник",""
"мажоритарный","представительный, по большинству",""
"максимальный","предельный, наибольший",""
"манкировать","пренебрегать",""
"маргинальный","крайний, запредельный",""
"маржа","навар, прибыль",""
"маркет","рынок",""
"маркетинг","продвижение, сбыт",""
"маркетолог","исследователь рынка",""
"маска","личина",""
"массмедиа","СМИ (средства массовой информации)",""
"маунтинбайк","горный велосипед, велогоры",""
"медиа","средства",""
"мейкап","макияж, внешний вид",""
"менеджер","управленец, управляющий, руководитель",""
"менеджмент","управление",""
"менталитет","умонастроение, мышление, склад ума, разум",""
"ментальность","склад ума",""
"ментальный","умственный",""
"менторский","назидательный, наставительный",""
"менторство","наставничество",""
"мерчендайзинг","розничная торговля, продвижение товара",""
"мерчендайзер","товаровед",""
"месседж","сообщение",""
"метод","способ, прием",""
"метро","подземка",""
"мидл","средний",""
"миллениум","тысячелетие",""
"мини-вэн","минимикроавтобус",""
"минимальный","наименьший",""
"минимизировать","сокращать, сократить, снижать, снизить",""
"миноритарный","по меньшинству",""
"мобильность","подвижность",""
"мобильный","подвижный",""
"модель","образец, разработка, копия, схема, натурщица, манекенщица",""
"модернизация","обновление, доработка, улучшение",""
"модуляции","переливы",""
"молдинг","рельеф, накладка",""
"момент","миг",""
"моментальный","мгновенный",""
"монетарный","денежный",""
"мониторинг","наблюдение, изучение, слежение, отслеживание",""
"монолог","речь",""
"монстр","чудовище",""
"монумент","памятник",""
"монументальный","величественный",""
"мораль","нравственность, поучение, вывод",""
"моральный","нравственный",""
"мотель","автогостиница, постоялый двор",""
"мотивация","побуждение",""
"муляж","слепок",""
"муниципальный","местный, городской, общегородской, городского самоуправления",""
"мутон","овчина",""
"мэйнстрим","основное направление, главная линия",""
"мэр","градоначальник",""
"навигация","судоходство",""
"натуральный","естественный, природный",""
"негативный","отрицательный",""
"нетворкинг","налаживание контактов",""
"нивелировать","сглаживать, уравнивать",""
"ник","кличка, прозвище",""
"ник или никнейм","псевдоним",""
"номад","кочевник",""
"нонсенс","бессмыслица, вздор, ерунда, чепуха",""
"ностальгия","тоска",""
"нотификации","уведомления",""
"ноу-хау","знание дела, умение, знание",""
"ньюсмейкер","герой новостей",""
"нюанс","особенность, оттенок, тонкость",""
"обсерватория","обозревалище, наблюдение",""
"объективная реальность","внешняя действительность",""
"объективный","беспристрастный",""
"объективный","сторонний, беспристрастный, непредвзятый",""
"овердрафт","перебор",""
"овнер","владелец",""
"окей","хорошо, ладно, отлично, договорись, идёт",""
"олигарх","воротила",""
"олигархия","самовластие",""
"онлайновый","сетевой, на связи",""
"опенсорс","открытый код",""
"оппозиция","противление",""
"опция","дополнительная возможность, выбор",""
"ордер","предписание",""
"оригинал","подлинник; непосредственный, самостоятельный, независимый",""
"оригинальный","подлинный, своеобразный",""
"ортодоксальный","неуклонный",""
"от кутюр","(одежда) высшего класса",""
"отель","гостиница",""
"офис","контора, кабинет",""
"офлайновый","автономный, отключенный",""
"офшор","нездешний, удалённый",""
"паб","пивная",""
"паблисити","известность",""
"паззл","головоломка",""
"пазл","ребус, головоломка",""
"пайплайн","конвеер",""
"пальпация","ощупывание",""
"пандус","взъезд",""
"парадигма","образец, принцип, видение",""
"парадиз","рай",""
"параметр","величина, обвод",""
"паркинг","стоянка",""
"парковка, паркинг","стоянка, постановка",""
"пассивный","ведомый, бездеятельный",""
"пати","гулянка, вечеринка",""
"патологический","болезненный",""
"патология","изменение",""
"пауэрлифтинг","тяжёлая атлетика",""
"пафосный","воодушевлённый, возвышенный",""
"педалировать","продвигать, настаивать",""
"перлюстрация","высматривание, просмотр",""
"перманентный","постоянный, неизменный, долговременный",""
"перманентный","постоянный",""
"персона","лицо, личность, человек, особа",""
"персональный","личный",""
"персональный","личный",""
"пертурбация","смятение, разлад, осложнение",""
"перформанс","производительность, представление",""
"петрификация","окаменение, известкование",""
"пиар","общественные отношения, связи с общественностью, игра на публику, реклама",""
"пикап","полугрузовик, подхват",""
"пионер","первопроходец",""
"пиринговый","равноправный",""
"пирсинг","прокалывание",""
"плебеи","простонародье, чернь,отребье",""
"плебс","простонародье, чернь,отребье",""
"плеер","проигрыватель",""
"плейлист","список воспроизведения",""
"пленарный","полный",""
"плюрализм","множественность",""
"позитивный","положительный",""
"позиционирование","размещение, расположение",""
"позиция","место, положение",""
"полемика","спор",""
"портмоне","кошелёк",""
"портфолио","портфель работ, набор",""
"пост","сообщение, запись",""
"постер","плакат",""
"постинг","послание, сообщение",""
"потенциал","возможность",""
"потенциальный","возможный",""
"потенция","возможность, способности",""
"прайм-тайм","лучшее время",""
"прайс-лист","список цен (на товары)",""
"преамбула","зачин, предисловие",""
"превалировать","преобладать",""
"превентивный","упреждающий",""
"презент","подарок",""
"презентативный","представительный",""
"презентация","преподнесение, представление",""
"президент","глава",""
"прейскурант","ценник",""
"пресс-релиз","сообщение для прессы",""
"пресса","печать",""
"прессинг","нажим, давление",""
"претензия","притязание, жалоба",""
"преференция","предпочтение",""
"прецизионный","точный, высокоточный",""
"прециозный","изысканный, точный",""
"приватизация","присвоение, разобществление",""
"приватный","частный, личный",""
"приватных","частных",""
"примитив","посредственность",""
"примитивный","простейший, посредственный",""
"проблема","задача",""
"провайдер","поставщик",""
"прогноз","предвидение, предсказание",""
"прогресс","развитие, продвижение",""
"продакшен","производство",""
"продакшн","производство",""
"продюсер","изготовитель, производитель",""
"пролонгировать","продлевать",""
"промо","реклама",""
"промоутер","покровитель, продвиженец",""
"пропаганда","распространение",""
"прострация","изнеможение",""
"протеин","белок",""
"протекция","защита, покровительство, прикрытие",""
"профицит","доходность, прибыльность",""
"проформа","видимость, формальность",""
"публикация","обнародование, издание",""
"пул","объединение, группа",""
"радикальный","коренной",""
"райдер","дополнения, бесплатные приложения",""
"рандеву","свидание",""
"раритет","редкая вещь, редкость, диковина",""
"раут","званый вечер, приём",""
"рафинированный","очищенный, изящный, утончённый, изысканный",""
"рафтинг","сплав (на плотах)",""
"реагировать","отзываться",""
"реакция","отклик, отзвук",""
"реализовать","претворить в жизнь",""
"реальный","настоящим, действительный",""
"ребрендинг","перелицовка, обновление образа",""
"ревизия","проверка, пересмотр",""
"революция","переворот, мятеж",""
"ревью","разбор, оценка, обзор",""
"регенерация","восстановление",""
"регион","область",""
"регистрация","запись, оформление",""
"регламент","распорядок",""
"регресс","упадок, отступление, движение вспять",""
"редакция","версия",""
"резидент","(местный) житель",""
"резистентность","сопротивляемость",""
"резолюция","решение, постановление",""
"резонанс","отзвук",""
"результат","итог, исход, следствие, последствие",""
"резюме","сводка, биография",""
"рейдер","захватчик",""
"рейтинг","оценка, котировка, уровень, уровень популярности",""
"рекламация","жалоба, возражение, претензия",""
"рекомбинация","перераспределение",""
"реконструкция","перестройка, переустройство, воссоздание",""
"рекреация","восстановление,",""
"рекрутинг","наём, набор, вербовка",""
"релаксация","расслабление",""
"релевантный","уместный, соответствующий",""
"релиз","выпуск",""
"реликвия","святыня",""
"реликт","древность",""
"реликтовый","древний",""
"релокация","переезд",""
"рельеф","очертание",""
"рельефный","выпуклый",""
"реляция","донесение",""
"ремарка","замечание, пояснение",""
"ремейк","переделка",""
"ренегат","отступник, изменник",""
"ренессанс","возрождение",""
"рентабельный","прибыльный, доходный",""
"репортаж","сообщение",""
"репрезентативность","представительность",""
"репродуцировать","воспроизводить",""
"реселлер","перепродавец",""
"ресепшионист","информатор, администратор",""
"ресепшен","приемная",""
"ресепшэн","приёмная",""
"ресивер","приёмник",""
"респект","уважение, почтение",""
"респектабельный","приличный",""
"реставрация","восстановление",""
"ресурс","источник",""
"ресёрч","исследование (рынка)",""
"ретироваться","отступить, уйти, удалиться",""
"рефери","(спортивный) судья",""
"реформа","преобразование",""
"рефрен","повторение, припев",""
"риелтор","торговец недвижимостью",""
"римейк","переделка",""
"рисерч","исследование (рынка)",""
"риск","угроза",""
"ритейл","розница",""
"ритейлер","продавец в розницу",""
"рихтовать","выпрямлять, выравнивать",""
"риэлтор","специалист по продаже недвижимости",""
"роадмап","дорожная карта",""
"ростбиф","жареная говядина",""
"роуминг","блуждание",""
"роутер","маршрутизатор",""
"рэкет","вымогательство",""
"рэкетир","вымогатель",""
"сайт","участок, место, интернет-ресурс",""
"сакральный","тайный",""
"саммит","собрание глав государств",""
"сателлит","обслуга, спутник, приспешник",""
"саундтрек","звуковая дорожка, звук, фонограмма",""
"свита","сопровождение",""
"свитч, свич","переключатель",""
"сейл","распродажа, продажа",""
"сейл-менеждер","менеджер по продажам",""
"сейлз-менеждер","менеджер по продажам",""
"секретный","тайный",""
"секс-символ","символ мужественности, символ женственности",""
"сексапильная","смазливая",""
"сексуальная","женственная",""
"сексуальный","мужественный",""
"секьюрити","охрана, охранник, безопасность, служба безопасности",""
"селективный","избирательный",""
"селекция","отбор",""
"сенатор","представитель",""
"сенильный","старческий",""
"сервис","обслуживание",""
"серфинг","скольжение",""
"сигнатура","признак",""
"сиквел","продолжение",""
"силиконовая долина","кремниевая долина",""
"силуэт","очертание",""
"симбиоз","сожительство",""
"симпозиум","заседание",""
"симптом","признак",""
"симулятор","подражатель, имитатор",""
"симуляция","притворство",""
"сингл","одиночный, одинарный",""
"синдром","признаки",""
"синтез","сбор, соединение, обобщение",""
"синхронно","одновременно, единовременно",""
"синхронный","одновременный, слаженный",""
"ситуация","положение, обстановка",""
"скетч","набросок",""
"скетчинг","зарисовка",""
"скиллы","умения",""
"скилы","умения",""
"скинхед","бритоголовый",""
"скрупулёзный","сверхтщательный",""
"слоган","лозунг, речёвка",""
"смокинг","пиджак",""
"солдат","ратник, воин",""
"сорт","вид",""
"софт","программное обеспечение",""
"социальный","общественный",""
"социолог","обществовед",""
"социология","обществоведение",""
"спайк","вслеск",""
"специальный","особый",""
"спикер","докладчик, выступающий, оратор, лектор, председатель, динамик",""
"спичрайтер","составитель речей, речеписец",""
"сплиттер","(раз) делитель",""
"спонсор","опекун, меценат, благотворитель",""
"спорадический","единичный, случайный",""
"спурт","рывок",""
"стабильность","устойчивость",""
"стабильный","устойчивый",""
"стагнация","застой, замедление",""
"сталкер","следопыт, преследователь",""
"старлетка","звёздочка",""
"старт","начало",""
"стартап","новая компания, начинание",""
"степлер","скрепок, скреплер, сцеплер",""
"стикер","наклейка",""
"стило","грифель, перо",""
"стилус","грифель, перо",""
"стимул","побудитель",""
"стоппер","ограничитель, опекун",""
"сторедж","хранение",""
"стори","история",""
"стратегия","общий план",""
"стресс","напряжение, потрясения, переживания",""
"стритрейсинг","уличные гонки",""
"структура","строение, устройство",""
"ступор","оцепенение",""
"субмарина","подлодка, подводная лодка",""
"субординация","подчинённость",""
"субпродукты","требуха",""
"субъективный","личный, предвзятый",""
"субъективный","предвзятый, личный, пристрастный, односторонний",""
"супер","отличный",""
"супервайзер","смотритель, руководитель",""
"супервизор","смотритель, руководитель",""
"супермаркет","универмаг, универсам",""
"суперстар","суперзвезда",""
"суррогатное материнство","заместительное материнство",""
"суспензия","взвесь",""
"сфера","область",""
"сэлфи","себяшка",""
"сэмпл","образец",""
"табу","запрет",""
"тавро","клеймо",""
"тайм","срок (времени)",""
"тайм-менеджмент","управление временем",""
"таймаут","перерыв",""
"тактика","линия поведения",""
"тандем","спарка, совместная деятельность",""
"таргет","цель",""
"тариф","расценка",""
"таск","задача",""
"таск-трекер","система отслеживания задач",""
"текстуальный","буквальный, дословный",""
"телекоммуникации","средства связи, линии связи, дальняя связь",""
"тема","предмет",""
"тендер","состязание, конкурс",""
"тент","навес",""
"тест-драйв","пробная поездка, прокат, обкатка",""
"тестирование","испытание",""
"тестовые","пробные",""
"тинейджер","подросток",""
"ток-шоу","разговорное зрелище",""
"токен","ключ",""
"толерантность","терпимость",""
"толерантный интервал","допустимый промежуток",""
"томаты","помидоры",""
"тонусе","бодрым, в бодрости",""
"топ","высший, высших",""
"торнадо","буря, ураган, смерч",""
"тост","здравица",""
"традиция","обычай",""
"трактат","рассуждение, толкование",""
"транспарентность","прозрачность, открытость",""
"транспарентный","прозрачный",""
"транспортабельный","годный к перевозке",""
"трансфер","перевод, перемещение",""
"трансферт","перевод, перемещение",""
"трансформация","превращение",""
"трафик","движение, поток, перегруженность дорог, загруженный поток, пробки на дорогах, большая/маленькая посещаемость (сайта)",""
"трейд","сделка, продажа, торговля",""
"трейд-ин","замена, зачёт (сдаваемого товара при покупке нового)",""
"трейдер","торговец, купец, биржевой игрок",""
"трейдинг","торговля",""
"трейлер","грузовик с полуприцепом, автоприцеп, рекламный фрагмент",""
"тренд","направление, ход, тенденция",""
"тренинг","тренировка, натаскивание",""
"триал","пробный",""
"триллер","нервотрёпка, страшилка, ужастик, приключение",""
"трип","путешествие",""
"троттлинг","ограничение",""
"туалет","уход за собой, отхожее место",""
"тур","путешествие",""
"турбулентность","завихрение",""
"туториал","руководство,учебник, инструкция, учебное пособие, обучающий материал",""
"тюнер","приёмник",""
"тюнинг","доводка, настройка",""
"тюрьма","узилище",""
"узурпация","захват",""
"уикенд","выходные, выходные дни",""
"уникальный","особенный, исключительный, неповторимый",""
"урл","ссылка",""
"утилизация","вторичное использование, переработка",""
"утилитарный","прикладной",""
"фавор","благосклонность",""
"фаворит","любимец, лидер (соревнования)",""
"файрволл","защитная система, межсетевой экран",""
"факап","прокол, неудача",""
"фактически","в действительности",""
"фактический","действительный",""
"фактчекинг","проверка фактов",""
"фанаберия","спесь, чванство, заносчивость",""
"фарватер","стрежень",""
"фартук","передник, покрывало, покрышка",""
"фасон","покрой",""
"фастфуд","закусочная, бистро, быстропит, закуска",""
"фаундер","основатель",""
"федеральный","правительственный",""
"феерический","волшебный, сказочный",""
"фейс-контроль","отсев подозрительных, лиц-контроль",""
"фейк","подделка, ложь",""
"фейковые","ложные",""
"фестиваль","празднество",""
"фешенебельный","модный",""
"фидбек","отзыв, обратный отзыв",""
"фикс","исправление",""
"фитнес","гимнастика, поддержание формы",""
"фича","возможность, особенность",""
"флагманский","передовой",""
"флаер","билет, пропуск, листовка",""
"флешмоб","кратковременная массовка",""
"фобия","страх, боязнь, нетерпимость",""
"фол","нарушение",""
"форвард","нападающий, ведущий",""
"форма","образ",""
"фортуна","удача, счастье",""
"форум","собрание, вече",""
"франчайзинг, франшиза","лицензирование, привилегия",""
"фраппировать","ошеломлять, удивлять, поражать",""
"фрик","чудак, урод",""
"фрилансер","вольный работник, внештатный сотрудник",""
"фронда","недовольство",""
"фундаментальный","основополагающий, основательный",""
"функционирование","действие",""
"фьюжн","слияние, синтез",""
"фэйк","подделка, ложь",""
